"Shifts Auto Primary Role","Shifts Auto Secondary Role","Shifts Auto Fuel Pct","Shifts Auto Starting Position","Shifts Auto Climb","Shifts Transition Primary Role","Shifts Transition Secondary Role","Shifts Transition Fuel Pct","Shifts Transition Defense On","Shifts Shift1 Primary Role","Shifts Shift1 Secondary Role","Shifts Shift1 Fuel Pct","Shifts Shift1 Defense On","Shifts Shift2 Primary Role","Shifts Shift2 Secondary Role","Shifts Shift2 Fuel Pct","Shifts Shift2 Defense On","Shifts Shift3 Primary Role","Shifts Shift3 Secondary Role","Shifts Shift3 Fuel Pct","Shifts Shift3 Defense On","Shifts Shift4 Primary Role","Shifts Shift4 Secondary Role","Shifts Shift4 Fuel Pct","Shifts Shift4 Defense On","Shifts Endgame Primary Role","Shifts Endgame Secondary Role","Shifts Endgame Fuel Pct","Shifts Endgame Defense On","Shifts Endgame Climb"," Id"," Hash","  V","Alliance","Createdat","Event Key","Match Key","Match Number","No Show","Overall Shooter","Overall Passer","Overall Intake","Overall Driver","Overall Defense Avoidance","Overall Defense","Overall Notes","Scouter","Team Number","Updatedat"
"Intake from Neutral Zone","Score","50","Left Trench","Not Attempted","Intake from Neutral Zone","Score","50","None","Score","Intake from Neutral Zone","50","None","Intake from Neutral Zone","Pass","50","None","Score","None","50","None","Intake from Neutral Zone","Pass","","None","Score","None","60","None","Not Attempted","69dab2846596dd6511f9c2fd","f2e52e8532d05fb2957d09422916265b4d48098f9cca9716c7af45ee9fc08d63","","red","2026-04-11T20:43:48.257Z","2026chcmp","2026chcmp_qm81","81","","4","4","3","4","","","Really good even though it lost.","Snithik","122","2026-04-11T20:43:53.251Z"
"Score","None","10","Hub","Not Attempted","Idle","None","10","None","Intake from Neutral Zone","None","10","None","Score","None","40","None","Intake from Neutral Zone","None","40","None","Score","None","50","None","Score","None","50","None","Not Attempted","69dab2839fd0038060fe2d00","65806952f019265bca4b4121f5fbeed3f331991ffdf457afe954fcb9df101b71","","red","2026-04-11T20:43:47.061Z","2026chcmp","2026chcmp_qm82","82","","3","","2","3","","","Okay robot nothing much.","Snithik","3939","2026-04-11T20:43:52.143Z"
"Intake from Neutral Zone","Score","50","Left Trench","Not Attempted","Intake from Neutral Zone","Score","50","None","Score","Intake from Neutral Zone","50","None","Intake from Neutral Zone","Pass","50","None","Score","None","50","None","Intake from Neutral Zone","Pass","","None","Score","None","60","None","Not Attempted","69dab2839fd0038060fe2cff","5374edb7451d757c8186f6b22125835aa2a9055d0ada766aef6019115075f31b","","red","2026-04-11T20:43:47.052Z","2026chcmp","2026chcmp_qm81","81","","4","4","3","4","","","Really good even though it lost it had a good turret.","Snithik","122","2026-04-11T20:43:53.243Z"
"Idle","None","","Hub","Not Attempted","Intake from Neutral Zone","None","","None","Intake from Neutral Zone","Pass","","None","Intake from Neutral Zone","Score","","None","Pass","Intake from Neutral Zone","","None","Intake from Neutral Zone","None","","None","Pass","None","","None","Not Attempted","69dab2826596dd6511f9c2fc","91b7f6fd873b1ec7fa4c7a44a4c426e5471b293a2858215471a385966715ad7e","","red","2026-04-11T20:43:46.984Z","2026chcmp","2026chcmp_qm83","83","","1","","1","1","","","Stayed in the neutral zone most of the time.","Snithik","5724","2026-04-11T20:43:51.551Z"
"Score","None","10","Right Trench","Not Attempted","Score","None","20","None","Intake from Neutral Zone","None","","None","Score","None","20","None","Intake from Neutral Zone","None","","None","Score","None","40","None","Score","None","40","None","Not Attempted","69dab2076596dd6511f9c2dd","c3d13fa9ebd3d94b6833f322d2ffae0bb02183b9f9d4907404049f96b07a438a","","red","2026-04-11T20:41:43.203Z","2026chcmp","2026chcmp_qm83","83","","5","","5","5","","","","Arihan","1908","2026-04-11T20:41:43.203Z"
"Defense","None","","Hub","Not Attempted","Defense","None","","None","Defense","None","","None","Defense","None","","None","Defense","None","","None","Idle","None","","None","Idle","None","","None","Not Attempted","69dab1b96596dd6511f9c2ce","44785cbfe1560a94858c7ef4b4d03fedd19e2b0ccc620244ef3c60d1879aff89","","blue","2026-04-11T20:40:25.778Z","2026chcmp","2026chcmp_qm83","83","","1","","","3","","2","Defended blair ineffectively. Was idle for second half.","Nidhish","2377","2026-04-11T20:40:25.778Z"
"Score","None","40","Right Trench","Not Attempted","Score","None","70","None","Score","None","30","None","Pass","Intake from Neutral Zone","","None","Score","None","50","None","Intake from Neutral Zone","Pass","","None","Score","None","30","None","Not Attempted","69dab1b76596dd6511f9c2cc","2afe74c69c1781c51abdc123ea1baec0b88e0db0d83049db72567a09be0240fe","","blue","2026-04-11T20:40:23.943Z","2026chcmp","2026chcmp_qm83","83","","4","3","3","4","","3","","lucas","619","2026-04-11T20:40:23.943Z"
"Intake from Neutral Zone","Score","70","Left Bump","Not Attempted","Intake from Neutral Zone","Score","100","None","Idle","Pass","","None","Score","Score","50","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","50","None","Score","Score","50","None","Not Attempted","69dab1b76596dd6511f9c2cb","8dcd900ab8373a9a37b2e695f41e9e8aa6e26053416ce2d2ba74c84f5c7ba665","","red","2026-04-11T20:40:23.758Z","2026chcmp","2026chcmp_qm83","83","","5","","5","5","","","","Sai","449","2026-04-11T20:40:23.758Z"
"Intake from Neutral Zone","Score","30","Hub","Not Attempted","Score","Idle","10","None","Pass","Pass","","None","Pass","Intake from Neutral Zone","","None","Score","Intake from Neutral Zone","60","Moderate","Intake from Neutral Zone","Pass","","None","Score","Score","80","None","Not Attempted","69dab1b36596dd6511f9c2c8","ea18f7ae787646d74d277b864ec91f4abffbd7e2001b34aefee9c62688a929ef","","blue","2026-04-11T20:40:19.598Z","2026chcmp","2026chcmp_qm83","83","","3","4","4","4","3","","","Falco Carey","8592","2026-04-11T20:40:19.598Z"
"Intake from Neutral Zone","Score","40","Hub","Not Attempted","Score","None","50","None","Intake from Neutral Zone","Score","40","None","Defense","Intake from Neutral Zone","","None","Score","None","40","None","Defense","None","","None","Intake from Neutral Zone","Score","40","None","Not Attempted","69dab03f6596dd6511f9c266","bdadcb2460a30dd65c4293611ed0f9793e32c40057e81ad04e904dee5e101c2b","","blue","2026-04-11T20:34:07.116Z","2026chcmp","2026chcmp_qm82","82","","4","","3","5","","5","Great defence, put junkyard on lockdown. Great shooter and strategy.","Nidhish","540","2026-04-11T20:34:07.116Z"
"Score","None","90","Right Trench","Not Attempted","Score","None","90","None","Score","None","90","None","Score","None","80","None","Score","None","80","None","Score","None","80","None","Score","None","80","None","Not Attempted","69dab00c6596dd6511f9c25c","479c1a2cb23a71e55488f655e59c40343a0d60655bc8219f551a38f35767544d","","red","2026-04-11T20:33:16.603Z","2026chcmp","2026chcmp_qm82","82","","5","5","5","5","","","","Arihan","2106","2026-04-11T20:33:16.603Z"
"Score","None","60","Left Trench","Not Attempted","Score","None","40","None","Pass","Score","50","None","Pass","Intake from Neutral Zone","","None","Score","None","50","Heavy","Pass","Intake from Neutral Zone","","None","Score","Intake from Neutral Zone","60","None","Not Attempted","69daaff66596dd6511f9c257","ed934761b68ddd92843c173988234ccebd3101c8d192fe27e5179c077c27d234","","blue","2026-04-11T20:32:54.417Z","2026chcmp","2026chcmp_qm82","82","","4","4","4","5","5","","","lucas","1629","2026-04-11T20:32:54.417Z"
"Score","Score","10","Hub","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Intake from Neutral Zone","","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","20","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Intake from Neutral Zone","10","None","Not Attempted","69daaff46596dd6511f9c256","27627220873775ddaf2f2b1135079e3bc3b09d1336c5597466084a36d298c573","","blue","2026-04-11T20:32:52.199Z","2026chcmp","2026chcmp_qm82","82","","2","","3","3","","","","Falco Carey","10224","2026-04-11T20:32:52.199Z"
"Score","Score","20","Right Bump","Not Attempted","Defense","Defense","","None","Defense","Pass","","None","Pass","Pass","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Not Attempted","69daafdb6596dd6511f9c24e","5d4b83513d59dc9115b1f9a151a3c9f35f49d42e445181f9fa00a6084312e2ff","","red","2026-04-11T20:32:27.506Z","2026chcmp","2026chcmp_qm82","82","","","","","2","","","No intake ","Sai","3258","2026-04-11T20:32:27.506Z"
"None","None","","Hub","Not Attempted","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","Not Attempted","69daae4d6596dd6511f9c1f4","d4539c8e01da47e12806b8b18865fc70616a01695c797394482f5dd1a062acac","","blue","2026-04-11T20:25:49.873Z","2026chcmp","2026chcmp_qm82","82","true","","","","","","","","Nidhish","540","2026-04-11T20:25:49.873Z"
"Score","None","70","Right Trench","Not Attempted","Score","None","70","None","Score","None","60","None","Score","None","50","None","Score","None","50","None","Score","None","60","None","Score","None","60","None","Not Attempted","69daae4d6596dd6511f9c1f3","ea2478103be6a0a5bf2fd37366c894e1bdd02c4bb1cc365c23b1022761e3d51d","","red","2026-04-11T20:25:49.617Z","2026chcmp","2026chcmp_qm81","81","","4","","4","4","","","","Arihan","1727","2026-04-11T20:25:49.617Z"
"Score","None","30","Hub","L1 Attempted","Idle","None","","None","Intake from Neutral Zone","None","","None","Score","None","30","None","Intake from Neutral Zone","None","","None","Score","None","20","None","Score","None","50","None","Not Attempted","69daae4d6596dd6511f9c1f1","171a82bef7d723ceb2fb0611d72c661c3366a4b0fd539d2b45118ba1f7dea211","","blue","2026-04-11T20:25:49.395Z","2026chcmp","2026chcmp_qm81","81","","3","","1","4","","","Slow drive train. Slow shooter. Small hopper.","Nidhish","5243","2026-04-11T20:25:49.395Z"
"Intake from Neutral Zone","Score","40","Right Bump","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","30","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Pass","Pass","","None","Defense","Defense","","None","Defense","Defense","","None","Not Attempted","69daae296596dd6511f9c1e7","29144f66c727cad9a50882892f26200505180d926d854e23f0bd6cc6ccb71f59","","red","2026-04-11T20:25:13.718Z","2026chcmp","2026chcmp_qm81","81","","3","","4","4","","","","Sai","614","2026-04-11T20:25:13.718Z"
"Intake from Neutral Zone","Score","80","Left Trench","Not Attempted","Intake from Neutral Zone","Score","100","None","Intake from Neutral Zone","Pass","","None","Score","Intake from Neutral Zone","70","None","Intake from Neutral Zone","Defense","","Light","Score","Intake from Neutral Zone","90","Moderate","Intake from Neutral Zone","Score","70","Heavy","Not Attempted","69daae266596dd6511f9c1e5","1c981fdd511fe053da626099b42e2d27f11c6b28ca1b894f30396fbd9b71c9ac","","blue","2026-04-11T20:25:10.519Z","2026chcmp","2026chcmp_qm81","81","","5","","4","5","1","2","","Falco Carey","9072","2026-04-11T20:25:10.519Z"
"None","None","","Hub","Not Attempted","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","Not Attempted","69daae216596dd6511f9c1e2","a69b2822acc94b3f25df9682c73faa70151e73e0e81c6ea8f235780f9967ac1a","","blue","2026-04-11T20:25:05.110Z","2026chcmp","2026chcmp_qm82","82","true","","","","","","","","lucas","1629","2026-04-11T20:25:05.110Z"
"Idle","None","","Hub","Not Attempted","Intake from Neutral Zone","None","","None","Pass","Intake from Neutral Zone","","None","Score","None","30","None","Intake from Neutral Zone","Defense","","None","Intake from Neutral Zone","Defense","","None","Pass","None","","None","Not Attempted","69daae206596dd6511f9c1e1","2028e34eee68d057f2795ecf81aab65d6fe91efb45d66a52e21d7eb0543e05e5","","blue","2026-04-11T20:25:04.893Z","2026chcmp","2026chcmp_qm81","81","","2","2","2","1","","2","","lucas","339","2026-04-11T20:25:04.893Z"
"Idle","None","","Hub","Not Attempted","Score","None","","None","Defense","None","","None","Defense","None","","None","Defense","None","","None","Defense","None","","None","Pass","None","","None","Not Attempted","69daac0b6596dd6511f9c0db","b1c9ee1ca8f07a97f31b5b73e2ee6605bab498e28d2438c6b9f86d81b41340c5","","red","2026-04-11T20:16:11.581Z","2026chcmp","2026chcmp_qm80","80","","1","3","","1","","1","Scored 2 points in total had extremely bad defense as well the only thing they can do okay is pass balls.","Snithik","2421","2026-04-11T20:16:11.581Z"
"Intake from Neutral Zone","Score","30","Right Trench","Not Attempted","Idle","None","","None","Score","None","20","None","Pass","None","","None","Score","None","70","None","Pass","Idle","","None","Idle","None","","None","Not Attempted","69daac006596dd6511f9c0d4","661fc8701a91636d3d99b777b4ee560fde7352f03ac6974e157e381003dd1982","","blue","2026-04-11T20:16:00.843Z","2026chcmp","2026chcmp_qm80","80","","5","5","3","4","","","Died half way. Amazing shooter and passing.","Nidhish","401","2026-04-11T20:16:00.868Z"
"Score","None","50","Left Trench","Not Attempted","Score","None","50","None","Score","None","50","None","Score","None","50","None","Score","None","50","None","Score","None","50","None","Score","None","50","None","Not Attempted","69daabe16596dd6511f9c0ce","911736ce447af654d17445175ad0c576ade78f381c80bfefcca424548a7a1bfc","","red","2026-04-11T20:15:29.739Z","2026chcmp","2026chcmp_qm80","80","","5","","4","5","","","","Arihan","5338","2026-04-11T20:15:29.739Z"
"Score","None","40","Left Trench","Not Attempted","Idle","None","","None","Idle","None","","None","Idle","Defense","","None","Pass","None","","None","Pass","Defense","","None","Pass","None","","None","Not Attempted","69daabcd6596dd6511f9c0cc","48b80706b2a9cf0518e7781c1dcbedbc595f922ac5e7d5d0ef396b78e2e7ce3b","","blue","2026-04-11T20:15:09.108Z","2026chcmp","2026chcmp_qm80","80","","2","3","","3","","3","","lucas","5804","2026-04-11T20:15:09.108Z"
"Intake from Neutral Zone","Score","50","Right Trench","Not Attempted","Score","Score","50","None","Pass","Intake from Neutral Zone","","None","Score","Score","60","None","Intake from Neutral Zone","Pass","","None","Score","Score","60","None","Score","Score","50","None","Not Attempted","69daabcd6596dd6511f9c0cb","02998a0b296d774d5b227987874ad3558a0b63b07108c40adb368c427f0a1659","","red","2026-04-11T20:15:09.099Z","2026chcmp","2026chcmp_qm80","80","","4","4","4","5","","","","Sai","11415","2026-04-11T20:15:09.099Z"
"Score","Idle","","Hub","Not Attempted","Pass","Pass","","None","Pass","Defense","","Light","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Not Attempted","69daabc76596dd6511f9c0c8","440cb86cc1d51b34e227354e89c9c4cfaecbfd45afa15607cdab65f0f5c5e483","","blue","2026-04-11T20:15:03.894Z","2026chcmp","2026chcmp_qm80","80","","1","1","","1","1","2","","Falco Carey","1111","2026-04-11T20:15:03.894Z"
"Idle","None","","Right Trench","Not Attempted","Defense","None","","None","Defense","None","","None","Defense","None","","None","Defense","None","","None","Defense","None","","None","Defense","None","","None","Not Attempted","69daaa116596dd6511f9c070","21aeba25a02f60cb6b24fa66ba886f98bc9311f34286b493caa83d305f68ed43","","red","2026-04-11T20:07:45.415Z","2026chcmp","2026chcmp_qm79","79","","","","","4","","4","","Arihan","10679","2026-04-11T20:07:45.415Z"
"Intake from Neutral Zone","Score","30","Right Trench","Not Attempted","Score","None","40","None","Score","Intake from Neutral Zone","80","None","Pass","Intake from Neutral Zone","","None","Score","None","90","Moderate","Pass","Intake from Neutral Zone","","None","Score","Pass","90","Heavy","Not Attempted","69daaa0d6596dd6511f9c06e","d81d0be74cbff53da4396673f52e37ef1df10d57e6c447ed9a308dd14c36473e","","red","2026-04-11T20:07:41.674Z","2026chcmp","2026chcmp_qm79","79","","5","5","4","5","4","","The first game the intake did’t break and they did well even while being defended.","Snithik","422","2026-04-11T20:07:41.674Z"
"None","None","","Hub","Not Attempted","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","Not Attempted","69daa9fb6596dd6511f9c067","6414336be7a9caac6c636e7ed0ab2c2925530407a23e7f3b50d1b9a40695a5f5","","blue","2026-04-11T20:07:23.189Z","2026chcmp","2026chcmp_qm80","80","true","","","","","","","","Nidhish","401","2026-04-11T20:07:23.189Z"
"Intake from Neutral Zone","Score","70","Hub","Not Attempted","Score","None","100","None","Intake from Neutral Zone","None","","Moderate","Score","None","50","Moderate","Intake from Neutral Zone","None","","None","Score","None","100","Light","Intake from Neutral Zone","Score","90","None","Not Attempted","69daa9fa6596dd6511f9c066","ab4f858776cfbeb5f7790d8bb30fbe5b6598447b837827f6b3aa4c2efce60028","","blue","2026-04-11T20:07:22.939Z","2026chcmp","2026chcmp_qm79","79","","5","3","4","5","3","","Great shooter and strategy. Good 👍 intake.","Nidhish","4099","2026-04-11T20:07:22.939Z"
"Intake from Neutral Zone","Pass","","Hub","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Defense","Defense","","None","Intake from Neutral Zone","Pass","","None","Defense","Defense","","None","Intake from Neutral Zone","Idle","","None","Defense","Defense","","None","Not Attempted","69daa9f36596dd6511f9c061","5fbfbbf3c9c572455591b5caaee969c93c3b0bc97f55f0152b797ac199a5fb0a","","red","2026-04-11T20:07:15.012Z","2026chcmp","2026chcmp_qm79","79","","","","","2","","","","Sai","11425","2026-04-11T20:07:15.012Z"
"Score","None","30","Hub","Not Attempted","Intake from Neutral Zone","None","","None","Defense","None","","None","Pass","None","","None","Defense","None","","None","Defense","None","","None","Defense","None","","None","Not Attempted","69daa9eb6596dd6511f9c05d","3e3be492556c81a3c22cb663774e8a7e36a120d4939aa017769cea18b0d3940e","","blue","2026-04-11T20:07:07.950Z","2026chcmp","2026chcmp_qm79","79","","","","","4","4","5","Generational defense ","lucas","9033","2026-04-11T20:07:07.950Z"
